Image Path,Driver ID
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/79.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/105.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/111.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/77.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/80.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/103.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/104.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/88.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/100.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/74.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/83.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/107.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/72.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/102.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/86.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/92.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/95.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/96.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/110.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/87.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/93.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/78.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/108.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/90.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/89.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/76.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/84.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/85.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/82.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/97.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/98.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/94.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/91.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/101.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/99.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/81.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/79.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/77.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/80.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/103.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/104.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/88.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/100.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/83.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/102.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/86.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/92.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/95.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/96.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/87.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/93.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/78.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c6/90.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/56.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/58.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/76.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/71.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/84.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/85.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/67.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/82.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/54.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/62.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/61.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/59.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/73.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/60.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/57.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/69.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/75.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/81.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/65.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/50.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/79.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/55.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/77.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/80.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/64.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/74.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/68.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/53.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/83.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/72.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/70.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/51.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/52.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/63.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/78.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/49.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c4/66.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/89.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/109.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/76.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/71.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/84.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/85.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/82.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/97.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/106.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/73.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/98.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/94.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/112.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/91.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/101.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/99.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/75.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/81.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/79.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/105.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/111.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/77.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/80.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/104.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/88.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/100.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/74.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/83.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/107.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/72.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/86.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/92.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/70.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/95.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/96.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/110.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/87.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/93.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/78.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/108.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c3/90.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/115.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/131.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/118.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/113.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/130.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/120.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/124.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/123.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/112.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/117.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/137.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/127.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/135.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/121.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/126.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/114.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/119.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/122.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/132.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/125.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/128.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/116.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/129.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/133.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/134.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c1/136.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/89.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/76.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/71.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/84.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/85.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/67.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/82.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/97.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/73.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/98.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/94.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/91.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/101.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/99.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/69.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/75.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/81.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/79.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/77.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/80.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/103.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/88.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/100.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/74.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/68.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/83.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/72.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/102.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/86.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/92.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/70.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/95.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/96.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/87.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/93.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/78.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/66.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c9/90.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/150.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/149.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/153.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/143.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/131.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/151.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/118.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/130.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/156.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/124.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/152.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/137.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/127.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/140.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/145.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/135.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/126.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/142.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/155.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/148.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/138.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/154.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/146.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/139.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/157.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/119.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/141.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/132.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/125.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/128.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/144.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/129.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/133.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/134.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/136.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c0/147.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/109.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/115.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/118.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/97.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/106.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/113.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/120.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/124.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/98.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/123.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/94.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/112.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/101.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/99.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/117.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/105.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/111.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/121.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/103.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/104.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/114.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/100.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/107.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/102.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/119.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/122.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/125.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/95.jpg,ID003
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/96.jpg,ID003
